stock_code,stock_name,board,market,industry,concepts,first_seen,last_seen,data_source
600033,福建高速,沪主板,SH,,,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
600035,楚天高速,沪主板,SH,铁路公路,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600036,招商银行,沪主板,SH,银行Ⅱ,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600037,歌华有线,沪主板,SH,电视广播Ⅱ,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600038,中直股份,沪主板,SH,航空装备Ⅱ,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600039,四川路桥,沪主板,SH,,,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
600048,保利发展,沪主板,SH,,,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
600050,中国联通,沪主板,SH,通信服务,科技,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600051,宁波联合,沪主板,SH,综合Ⅱ,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600052,东望时代,沪主板,SH,电力,电力,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
600054,黄山旅游,沪主板,SH,旅游及景区,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600055,万东医疗,沪主板,SH,医疗器械,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600056,中国医药,沪主板,SH,医药商业,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600057,厦门象屿,沪主板,SH,,,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
600058,五矿发展,沪主板,SH,贸易Ⅱ,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600059,古越龙山,沪主板,SH,非白酒,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600060,海信视像,沪主板,SH,黑色家电,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600061,国投资本,沪主板,SH,多元金融,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600062,华润双鹤,沪主板,SH,化学制药,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600063,皖维高新,沪主板,SH,化学纤维,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600064,南京高科,沪主板,SH,房地产开发,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600066,宇通客车,沪主板,SH,商用车,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600067,冠城新材,沪主板,SH,,,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
600068,葛洲坝,沪主板,SH,-,,2026-06-17 10:05:32,2026-06-17 10:05:32,eastmoney_push2_snapshot
600071,凤凰光学,沪主板,SH,光学光电子,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600072,中船科技,沪主板,SH,风电设备,电力;科技,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600073,光明肉业,沪主板,SH,食品加工,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600075,新疆天业,沪主板,SH,,,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
600076,康欣新材,沪主板,SH,包装印刷,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600078,澄星股份,沪主板,SH,农化制品,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600081,东风科技,沪主板,SH,,,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
600085,同仁堂,沪主板,SH,中药Ⅱ,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600088,中视传媒,沪主板,SH,,,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
600089,特变电工,沪主板,SH,电网设备,电力,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600094,大名城,沪主板,SH,房地产开发,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600095,湘财股份,沪主板,SH,证券Ⅱ,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600096,云天化,沪主板,SH,,,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
600097,开创国际,沪主板,SH,,,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
600098,广州发展,沪主板,SH,电力,电力,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600099,林海股份,沪主板,SH,摩托车及其他,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600100,同方股份,沪主板,SH,计算机设备,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600101,明星电力,沪主板,SH,电力,电力,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600102,莱钢股份,沪主板,SH,-,,2026-06-17 10:05:32,2026-06-17 10:05:32,eastmoney_push2_snapshot
600103,青山纸业,沪主板,SH,造纸,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600104,上汽集团,沪主板,SH,乘用车,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600105,XD永鼎股,沪主板,SH,通信设备,科技,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600106,重庆路桥,沪主板,SH,,,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
600108,亚盛集团,沪主板,SH,,,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
600109,国金证券,沪主板,SH,证券Ⅱ,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600110,诺德股份,沪主板,SH,电池,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600111,北方稀土,沪主板,SH,小金属,,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
600113,浙江东日,沪主板,SH,一般零售,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600114,东睦股份,沪主板,SH,通用设备,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600115,中国东航,沪主板,SH,航空机场,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600116,三峡水利,沪主板,SH,,,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
600117,西宁特钢,沪主板,SH,,,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
600118,中国卫星,沪主板,SH,航天装备Ⅱ,商业航天,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600120,浙江东方,沪主板,SH,多元金融,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600121,郑州煤电,沪主板,SH,,,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
600123,兰花科创,沪主板,SH,,,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
600125,铁龙物流,沪主板,SH,铁路公路,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600126,杭钢股份,沪主板,SH,普钢,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600127,金健米业,沪主板,SH,农产品加工,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600128,苏豪弘业,沪主板,SH,,,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
